Connection ID,Family ID,PTM family,Example / subtype,Context group,Disease / context,Link type,Study setting,Reported finding,Limits,Review note,Primary papers,Source URLs,Family resource coverage (August 2026),Resource named in August audit,Coverage scope,Source review date,Selection
DC011,ADJ016,Lactylation,Lactylation,Cancer,Hepatocellular carcinoma cell models,Disease association,Cellular models,"GPC3 knockdown altered lactylation, growth and metabolic readouts in liver-cancer cells under hypoxia.",Cell-culture evidence. The study does not establish a clinical lactylation biomarker or treatment.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/37131292/,Active / maintained in August audit,KlaDB,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC012,ADJ023,ADP-ribosylation,PARylation,Cancer,Breast cancer cell models,Disease association,Cellular models,PARP1-dependent ADP-ribosylation was linked to transcription of proliferation and DNA-repair genes in breast cancer cells.,A cellular transcription study; the evidence is specific to the studied system.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/31614656/,Active / maintained in August audit,Plant PTM Viewer 2.0 current plant MAR subset; ADPriboDB 2.0 live aging global,"Family-level qualifying coverage is subtype-, organism-, or evidence-scope limited. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC013,ADJ048,Protein fatty acylation,Palmitoylation,Cancer,NRAS-associated leukemia models,Disease association,Animal + cellular models,NRAS palmitoylation was required for leukemia-like disease in the mouse model studied.,Mouse-model evidence does not establish efficacy of targeting palmitoylation in patients.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/20200357/,Active / maintained in August audit,dbSNO 3.0 S-palmitoylation subset; Plant PTM Viewer 2.0 and MYRbase partial children,"Family-level qualifying coverage is subtype-, organism-, or evidence-scope limited. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC014,ADJ042,Protein glycosylation,O-GlcNAcylation,Cancer,Colon cancer,Disease association,Human samples + experimental models,PGK1 O-GlcNAcylation was elevated in colon tumors and linked to metabolism and tumor growth in cell and xenograft experiments.,"An O-GlcNAc example within the broader protein-glycosylation family, not evidence for every glycan linkage.",Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/31911580/,Active / maintained in August audit,GlyGen 2.10.1; linkage-specific resources where available,"Family-level qualifying coverage is subtype-, organism-, or evidence-scope limited. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC015,ADJ079,Sulfhydration and persulfidation,Sulfhydration / persulfidation,Cardiovascular / metabolic,Fatty liver disease,Disease association,Human samples + experimental models,"FXR persulfidation was linked to metabolic and liver-disease readouts in mouse and cell models, with supporting patient-liver observations.",The paper uses NAFLD/NASH terminology. Its experimental effects do not demonstrate a treatment benefit in patients.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/35586979/,Active / maintained in August audit,dbSNO 3.0,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC016,ADJ019,Malonylation,Malonylation,Cardiovascular / metabolic,Diabetic retinal vascular dysfunction,Disease association,Animal + cellular models,mTOR malonylation was linked to retinal vascular readouts in diabetic mice and endothelial-cell experiments.,Preclinical evidence. A published corrigendum is linked; its contents need full-text assessment before relying on individual experimental results.,Correction notice linked,1,https://pubmed.ncbi.nlm.nih.gov/34619345/,Active / maintained in August audit,CPLM 4.0,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC017,ADJ037,Protein monoaminylation,Serotonylation,Cardiovascular / metabolic,Pulmonary hypertension,Disease association,Human samples + experimental models,RhoA serotonylation was associated with pulmonary hypertension in patient material and studied in cells and mice.,Serotonylation is one subtype of protein monoaminylation. This does not establish a clinical treatment effect.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/19299501/,No qualifying mapping found,ProteomeXchange PXD054426 plus dbPTM,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC018,ADJ027,Carboxylation,γ-carboxylation,Cardiovascular / metabolic,Arterial calcification,Disease association,Human observational,Long-term coumarin use was associated with arterial calcification in a small cross-sectional study; impaired MGP carboxylation was a proposed explanation.,Indirect PTM evidence: the study does not demonstrate that a specific carboxylation site causes calcification or establish causal direction.,Scope caveat,1,https://pubmed.ncbi.nlm.nih.gov/20354170/,Active / maintained in August audit,CPLM 4.0 partial lysine subtype; StrucPTM gamma-carboxyglutamate occurrences,"Family-level qualifying coverage is subtype-, organism-, or evidence-scope limited. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC019,ADJ088,Hydroxylation,Hydroxylation,Cardiovascular / metabolic,Dilated cardiomyopathy,Disease association,Human samples + experimental models,"JMJD4-dependent PKM2 hydroxylation was linked to cardiac metabolism and cardiomyopathy in experimental models, alongside patient-heart observations.",A published correction is linked; its contents need full-text assessment before relying on individual experimental results.,Correction notice linked,1,https://pubmed.ncbi.nlm.nih.gov/37066795/,Active / maintained in August audit,HypDB for proline plus CPLM 4.0 for lysine,"Family-level qualifying coverage is subtype-, organism-, or evidence-scope limited. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC020,ADJ017,Lysine phenylacetylation,Lysine phenylacetylation,Cardiovascular / metabolic,Obesity / MASLD / MASH,Microbiome association,Human samples + experimental models,"Lysine phenylacetylation was linked to microbiota-derived metabolism and mitochondrial dysfunction in experiments, with observations in adults with obesity and MASH.",A selected 2026 study of an emerging modification; replication and clinical utility are not established here.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/42341761/,No qualifying mapping found,2026 Cell Metabolism primary proteomics dataset (iProX IPX0010608001),"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC021,ADJ007,Acetylation,Acetylation,Mucosal / intestinal inflammation,Crohn’s disease,Microbiome association,Human observational,Host and microbial acetylated peptides differed between Crohn’s disease samples and controls in a microbiome proteomics study.,Differential abundance does not establish whether acetylation is a cause or consequence of disease.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/32807798/,Active / maintained in August audit,CPLM 4.0,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC022,ADJ011,Crotonylation,Crotonylation,Mucosal / intestinal inflammation,Experimental colitis / cell therapy,Disease association,Animal + cellular models,Crotonylation was linked to stem-cell senescence and improved cell-therapy readouts in a mouse colitis model.,"A preclinical model, not a demonstration of efficacy in people with inflammatory bowel disease.",Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/41764109/,Active / maintained in August audit,CPLM 4.0,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC023,ADJ038,Sulfation,Mucin/carbohydrate sulfation,Mucosal / intestinal inflammation,Colitis / colonic carcinogenesis,Disease association,Human samples + experimental models,PAPSS2-associated sulfation was linked to intestinal-barrier phenotypes in mice and colon-cancer observations in humans.,"Scope-limited context: the abstract concerns sulfomucin and bile-acid sulfates. It does not identify a sulfated protein-residue site; bile-acid sulfation is not a protein PTM. Retained as contextual evidence, not direct residue-level disease evidence.",Scope caveat,1,https://pubmed.ncbi.nlm.nih.gov/33819483/,Historical only,DOSS historical tyrosine-sulfation database; StrucPTM structural subset,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC024,ADJ064,SUMOylation,SUMOylation,Neurodegeneration,Alzheimer-related amyloid models,Disease association,Cellular models,APP SUMOylation was associated with lower amyloid-beta aggregate levels in the cell experiments studied.,"A cellular aggregation endpoint, not evidence of prevention or treatment of Alzheimer’s disease.",Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/18675254/,Active / maintained in August audit,Human SUMO PeptideAtlas/PTMeXchange plus CPLM 4.0,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC025,ADJ048,Protein fatty acylation,Palmitoylation,Neurodegeneration,Huntington’s disease cell models,Disease association,Cellular models,GAD65 palmitoylation and trafficking were altered in neuronal cell models expressing mutant huntingtin.,Cellular models; no patient outcome or general effect of all fatty acylation was established.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/22103299/,Active / maintained in August audit,dbSNO 3.0 S-palmitoylation subset; Plant PTM Viewer 2.0 and MYRbase partial children,"Family-level qualifying coverage is subtype-, organism-, or evidence-scope limited. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC026,ADJ042,Protein glycosylation,O-GlcNAcylation,Neurodegeneration,Tau-related neurodegeneration research,Disease association,Experimental study,The study linked SIRT1/OGT regulation to tau O-GlcNAcylation and phosphorylation.,The abstract does not specify all experimental models. No patient treatment effect can be inferred from this record.,Scope caveat,1,https://pubmed.ncbi.nlm.nih.gov/32310828/,Active / maintained in August audit,GlyGen 2.10.1; linkage-specific resources where available,"Family-level qualifying coverage is subtype-, organism-, or evidence-scope limited. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC027,ADJ033,NMPylation,AMPylation / deAMPylation,Neurodegeneration,Inherited motor neuron disease,Disease association,Human genetics + functional study,Biallelic FICD variants in affected individuals were linked to impaired deAMPylation and altered BiP regulation in patient-derived fibroblasts.,A specific rare genetic disorder with functional evidence; it does not imply that AMPylation explains motor neuron disease generally.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/36136088/,No qualifying mapping found,dbPTM 2025 general integrator,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC028,ADJ041,Glycation and AGE formation,Glycation,Neurodegeneration,Huntington’s disease models,Disease association,Animal + cellular models,"Increased glycation worsened mutant-huntingtin aggregation or toxicity in yeast, cell and fruit-fly models.",Experimental models; relevance to patient progression or treatment remains unestablished here.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/27857176/,Active / maintained in August audit,CPLM 4.0; GlycateBase static validation set,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC029,ADJ068,Carbonylation,Protein carbonylation,Neurodegeneration,Mild cognitive impairment / early Alzheimer’s disease,Disease association,Human observational,Redox proteomics identified elevated carbonylation of selected proteins in post-mortem brain samples.,Post-mortem association cannot establish temporal order or disease causation.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/19686046/,Active / maintained in August audit,Plant PTM Viewer 2.0 current plant subset; CarbonylDB live aging,"Family-level qualifying coverage is subtype-, organism-, or evidence-scope limited. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC030,ADJ056,ISGylation,ISGylation,Viral infection,Antiviral immunity research,Host–pathogen study,Human samples + experimental models,Mouse and human studies report species-dependent roles for ISG15 in antiviral responses.,"Free ISG15 and protein-conjugated ISG15 are different. The human study does not demonstrate a uniform antiviral effect of ISGylation, and mouse findings cannot be generalized to humans.",Scope caveat,2,https://pubmed.ncbi.nlm.nih.gov/17227866/ | https://pubmed.ncbi.nlm.nih.gov/27193971/,No qualifying mapping found,none dedicated found,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC031,ADJ048,Protein fatty acylation,Myristoylation + palmitoylation,Viral infection,Viral infection research,Host–pathogen study,Cellular models,Two studies examine protein fatty-acyl modifications in different viral systems.,Myristoylation and palmitoylation are distinct subtypes. These experiments do not establish a shared clinical effect across viruses.,Title and abstract reviewed,2,https://pubmed.ncbi.nlm.nih.gov/2405382/ | https://pubmed.ncbi.nlm.nih.gov/35813875/,Active / maintained in August audit,dbSNO 3.0 S-palmitoylation subset; Plant PTM Viewer 2.0 and MYRbase partial children,"Family-level qualifying coverage is subtype-, organism-, or evidence-scope limited. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC032,ADJ038,Sulfation,Tyrosine sulfation,Viral infection,Viral infection research,Host–pathogen study,Biochemical / cellular models,A cellular study links host-receptor sulfation with viral infection biology.,"A receptor-specific experimental context, not evidence that sulfation generally predicts clinical outcomes.",Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/10089882/,Historical only,DOSS historical tyrosine-sulfation database; StrucPTM structural subset,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC033,ADJ036,Phosphorylation,Phosphorylation,Viral infection,HIV-associated neurocognitive disease research,Disease association,Human samples + experimental models,pRb phosphorylation was associated with HIV-related neural injury in brain material and cellular experiments.,This is a neurotoxicity context; it does not establish a universal effect of phosphorylation in viral disease.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/21504794/,Active / maintained in August audit,EPSD 2.0; dbPSP 2.0,"Family-level audit classification. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,Figure 3 selection
DC034,ADJ031,Methylation,EZH2 / histone H3K27 methylation,Inherited / developmental,Weaver syndrome,Disease association,Human genetics + functional studies,De novo EZH2 variants were identified in Weaver syndrome; a follow-up study linked an affected individual's variant to reduced H3K27 methylation and overgrowth in a mouse model.,"The genetic and functional evidence concerns specific EZH2 variants, not methylation generally. It does not show that changing methylation is an effective treatment.",Title and abstract reviewed,2,https://pubmed.ncbi.nlm.nih.gov/22177091/ | https://pubmed.ncbi.nlm.nih.gov/29244146/,Active / maintained in August audit,PTMeXchange Human Methylation build; ProMetheusDB; CPLM 4.0,"Family-level classification from the unchanged August audit. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,September extension
DC035,ADJ089,Hypusination,DHPS / eIF5A hypusination,Inherited / developmental,DHPS-related neurodevelopmental disorder,Disease association,Human genetics + functional studies,Five affected individuals from four families carried biallelic DHPS variants. Functional assays found reduced enzyme activity and reduced eIF5A hypusination for tested variants.,A small rare-disease series with cell-based functional support; the assays do not establish how restoring hypusination would affect patients.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/30661771/,No qualifying mapping found,ProteomeScout current general integrator,"Family-level classification from the unchanged August audit. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,September extension
DC036,ADJ095,Lipoylation,LIAS / mitochondrial protein lipoylation,Inherited / developmental,LIAS deficiency,Disease association,Human genetics + biochemical studies,"An individual with a homozygous LIAS variant had neonatal epilepsy, metabolic abnormalities, reduced pyruvate dehydrogenase activity and markedly reduced protein-bound lipoamide.","A single-patient biochemical and genetic report. It supports this specific cofactor-maturation disorder, not a general neurological effect of lipoylation.",Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/22152680/,Active / maintained in August audit,CPLM 4.0,"Family-level classification from the unchanged August audit. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,September extension
DC037,ADJ092,Biotinylation,HLCS / carboxylase biotinylation,Inherited / developmental,Holocarboxylase synthetase deficiency,Disease association,Human genetics + functional studies,A study of five patients from four families identified HLCS variants; expression in patient fibroblasts linked a tested variant to reduced holocarboxylase synthetase activity.,"Evidence concerns the enzyme responsible for carboxylase biotinylation, not a residue-resolved disease-site atlas. The small cohort does not establish variant frequencies in other populations.",Scope caveat,1,https://pubmed.ncbi.nlm.nih.gov/8541348/,Active / maintained in August audit,CPLM 4.0,"Family-level classification from the unchanged August audit. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,September extension
DC038,ADJ044,GPI anchoring,PIGA / GPI-anchor biosynthesis,Hematologic,Paroxysmal nocturnal hemoglobinuria,Disease association,Human genetics + biochemical studies,"Patient blood-cell populations with defective GPI anchoring shared a somatic PIGA mutation, linking an acquired clonal blood disorder to loss of surface GPI-anchored proteins.","This is an acquired somatic disorder, not an inherited GPI deficiency. The finding does not by itself explain every step in clonal expansion or establish a treatment effect.",Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/8500164/,Live but aging,GPI-AP Database,"Family-level classification from the unchanged August audit. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,September extension
DC039,ADJ081,Deamidation,Tissue transglutaminase / gliadin deamidation,Autoimmune / inflammatory,Celiac disease,Disease association,Human biopsy-derived cells + biochemical studies,"T cells derived from adult celiac lesions preferentially recognized deamidated gliadin, supporting a role for tissue transglutaminase in forming the recognized epitopes.","The modified substrate is dietary wheat gliadin, not a human protein. Biopsy and T-cell experiments support antigen recognition, not a clinical treatment claim.",Scope caveat,1,https://pubmed.ncbi.nlm.nih.gov/11465088/,No qualifying mapping found,dbPTM 2025 general integrator,"Family-level classification from the unchanged August audit. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,September extension
DC040,ADJ065,Ubiquitination,UBA1 / ubiquitin activation,Autoimmune / inflammatory,VEXAS syndrome,Disease association,Human genetics + functional studies,"A study of 25 men linked somatic UBA1 variants to adult-onset inflammatory disease, reduced cellular ubiquitylation and impaired activity of a cytoplasmic UBA1 isoform.",The original cohort and tested variants do not represent all patients with VEXAS. Somatic mutation evidence is not an inherited-risk estimate or proof of benefit from altering ubiquitination.,Title and abstract reviewed,1,https://pubmed.ncbi.nlm.nih.gov/33108101/,Active / maintained in August audit,Human Ubiquitination PeptideAtlas/PTMeXchange plus CPLM 4.0,"Family-level classification from the unchanged August audit. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,September extension
DC041,ADJ036,Phosphorylation,FAM20C / secreted-protein phosphorylation,Inherited / developmental,Raine syndrome,Disease association,Cells / biochemical assays,Biochemical studies identified FAM20C as a kinase for secreted biomineralization proteins; tested Raine syndrome variants impaired its localization and kinase activity.,These studies address the biochemical function of a disease-associated enzyme. They are not clinical trials and do not establish which individual substrate changes account for each patient feature.,Title and abstract reviewed,2,https://pubmed.ncbi.nlm.nih.gov/22582013/ | https://pubmed.ncbi.nlm.nih.gov/22900076/,Active / maintained in August audit,EPSD 2.0; dbPSP 2.0,"Family-level classification from the unchanged August audit. Coverage describes a PTM family, not disease-specific validation.",2026-09-24,September extension
